Kategori;Afdeling;Vare;Pris (kr.);Beskrivelse;Kategori vises;Vare vises;Udsolgt;Kan bestilles online;Kategoriens dage;Kategorinote
Reception og pindemad;Mad;Pindemad med frikadelle;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med flæskesteg;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med leverpostej;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med æg;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med æg og rejer;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med roastbeef;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med spegepølse;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Reception og pindemad;Mad;Pindemad med laks;50;På toastbrød eller rugbrød;ja;ja;nej;nej;alle;På toastbrød eller rugbrød
Morgenmad;Mad;Morgenkomplet;99;Kaffe eller juice, rundstykke med pålæg, æg og bacon samt frugt;ja;ja;nej;ja;alle;
Morgenmad;Mad;English breakfast;99;Spejlæg · 2 skiver bacon · bønner i tomat · pølse · stegte champignon · pandestegt tomat · ristet toastbrød · smør;ja;ja;nej;ja;alle;
Morgenmad;Mad;Rundstykke med pålæg;35;Friskt rundstykke med smør og pålæg.;ja;ja;nej;ja;alle;
Morgenmad;Mad;Havnens all in one;40;Toastbrød eller rugbrød · ost · skinke · spejlæg;ja;ja;nej;ja;alle;
Morgenmad;Mad;Frugtmix;25;En skål frisk, skåret frugt.;ja;nej;nej;ja;alle;
Morgenmad;Mad;Franskbrød med pålæg;35;Franskbrød med smør og pålæg.;ja;ja;nej;ja;alle;
Morgenmad;Mad;Brunchtallerken;349;Spejl- eller røræg · bacon · pølse · skyr med knas · pålæg · marmelade · frugt · grønt · pandekage · bønner i tomat · brød · smør;ja;ja;nej;ja;alle;
Morgenmad;Mad;Wienerbrød;30;Sælges kun helt.;ja;ja;nej;ja;alle;
Morgenmad;Mad;Morgenbrød;;Rundstykker og morgenbrød kan bestilles — sig til dagen før;ja;ja;nej;ja;alle;
Ispinde;Is;Excellence, chokolade og brombær;32;;ja;ja;nej;ja;alle;
Ispinde;Is;Excellence, chokolade og mandel;32;;ja;ja;nej;ja;alle;
Ispinde;Is;Maxibon;31;;ja;ja;nej;ja;alle;
Ispinde;Is;Ternet Ninja;28;;ja;ja;nej;ja;alle;
Ispinde;Is;Raketis med drys;25;;ja;ja;nej;ja;alle;
Ispinde;Is;50'eren;25;;ja;ja;nej;ja;alle;
Ispinde;Is;Vandmelon;24;;ja;ja;nej;ja;alle;
Ispinde;Is;Isbjørn, gul;22;;ja;ja;nej;ja;alle;
Ispinde;Is;Isbjørn, pink;22;;ja;ja;nej;ja;alle;
Ispinde;Is;Star-is;20;;ja;ja;nej;ja;alle;
Ispinde;Is;Sort/hvid is;20;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Blødkogt æg;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Bacon, 2 skiver;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Pålæg;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Grønt;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Marmelade;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Smør;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Pølser;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Bønner i tomat;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Frugt;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Pandekage;10;;ja;ja;nej;ja;alle;
Tilkøb morgenmad;Mad;Wienerbrød, en halv;10;;ja;nej;nej;ja;alle;
Tilkøb morgenmad;Mad;Nutella;10;;ja;ja;nej;ja;alle;
Tillæg: glutenfri, laktosefri og vegansk;Mad;Glutenfrit brød (tillæg);0;Til smørrebrød og burgere — 10 kr. pr. stk.;ja;ja;nej;ja;alle;Ejerens tillæg: 10 kr. pr. stk. Sig til, når I bestiller.
Tillæg: glutenfri, laktosefri og vegansk;Mad;Glutenfri mad;;;ja;nej;nej;ja;alle;Ejerens tillæg: 10 kr. pr. stk. Sig til, når I bestiller.
Tillæg: glutenfri, laktosefri og vegansk;Mad;Laktosefri (tillæg);10;10 kr. pr. stk.;ja;ja;nej;ja;alle;Ejerens tillæg: 10 kr. pr. stk. Sig til, når I bestiller.
Tillæg: glutenfri, laktosefri og vegansk;Mad;Vegansk (tillæg);10;10 kr. pr. stk.;ja;ja;nej;ja;alle;Ejerens tillæg: 10 kr. pr. stk. Sig til, når I bestiller.
Tillæg: glutenfri, laktosefri og vegansk;Mad;Vegansk smørrebrød;;Tomatmad · kartoffelmad · avokadomad;ja;nej;nej;ja;alle;Ejerens tillæg: 10 kr. pr. stk. Sig til, når I bestiller.
Tilkøb ud af huset;Mad;Hjemmelavede mini-frikadeller;25;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Hjemmelavet flæskesvær;35;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Mini-burgere;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Mini-kyllingeburgere;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Mini-fiskeburgere;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Mini-vegetarburgere;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Blandede salater;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Pastasalat;50;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Råkost;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Frugtfad;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Frugtsalat;40;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Vaniljecreme;10;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Vanilje- og jordbærsoftice;35;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Chips;20;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Slushice;;;ja;nej;nej;nej;alle;
Tilkøb ud af huset;Mad;Milkshake;59;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Smoothie;59;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Slikposer;20;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Slushice, lille;20;;ja;ja;nej;nej;alle;
Tilkøb ud af huset;Mad;Slushice, stor;25;;ja;ja;nej;nej;alle;
Kaffe og varme drikke;Drikke;Espresso;35;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Irish coffee, stor;145;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Americano;40;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Americano Ice;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Cortado;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Macchiato;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Cappuccino;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Flat White;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Latte;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Latte Ice;50;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;1 iskugle i kaffen;20;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Chai;45;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Kakao;40;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Ekstra shot kaffe;25;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Sirup;5;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Te;25;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Lumumba;75;Kold eller varm;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Irish coffee;75;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Kage & desserter;30;Spørg for dagens udvalg;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Gammeldags æblekage;35;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Flødekager;40;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Kaffe og kage;65;;ja;ja;nej;ja;alle;
Kaffe og varme drikke;Drikke;Kaffe og pandekage;65;;ja;ja;nej;ja;alle;
Øl;Drikke;Fadøl, lille;35;;ja;ja;nej;ja;alle;
Øl;Drikke;Fadøl, stor;55;;ja;ja;nej;ja;alle;
Øl;Drikke;Fadøl lux, lille;40;;ja;ja;nej;ja;alle;
Øl;Drikke;Fadøl lux, stor;60;;ja;ja;nej;ja;alle;
Øl;Drikke;Flaske eller dåse;30;Kun take away;ja;ja;nej;ja;alle;
Øl;Drikke;Gylden Dame / Lux;40;Kun take away;ja;ja;nej;ja;alle;
Øl;Drikke;Alkoholfri øl;30;;ja;ja;nej;ja;alle;
Øl;Drikke;Specialøl, lille;50;;ja;ja;nej;ja;alle;
Øl;Drikke;Specialøl, stor;70;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Alkoholfri vin, glas;59;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Alkoholfri vin, flaske;249;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Vin, glas;59;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Vin, flaske;249;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Cava, glas;69;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Cava, flaske;299;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Champagne, glas;69;;ja;ja;nej;ja;alle;
Vin, cava og champagne;Drikke;Champagne, flaske;299;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Sodavand, juice, iste eller kakao – lille;30;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Sodavand, juice, iste eller kakao – stor;40;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Smoothie eller milkshake;59;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Dåse eller flaske sodavand;30;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Juice eller Capri-Sun;15;;ja;nej;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Mælk;20;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Cocio;35;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Kildevand;20;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Isvand;25;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Red Bull;40;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;RTD;40;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Drinks;75;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Cocktail;85;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Snaps, sambuca og shots;30;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Bitter;;;ja;nej;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Brik juice eller cacao;15;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Slush Ice, lille;25;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Slush Ice, stor;35;;ja;ja;nej;ja;alle;
Sodavand, juice og kakao;Drikke;Capri Sun;20;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Slik, 1 stk.;10;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Slik, 3 stk.;25;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Chokolade;20;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Peanuts, 1 pose;25;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Peanuts, 2 poser;45;;ja;nej;nej;ja;alle;
Snacks og slik;Drikke;Chips, 1 pose;15;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Flæskesvær, 1 pose;35;;ja;nej;nej;ja;alle;
Snacks og slik;Drikke;2 slags chips på fad;35;;ja;ja;nej;ja;alle;
Snacks og slik;Drikke;Chips eller svær, 2 poser;50;;ja;nej;nej;ja;alle;
Snacks og slik;Drikke;Popcorn;30;;ja;ja;nej;ja;alle;
